,Financial_Planning,Financial_Goals,Analyze_Financial_Position,Financial_Advice,Review_Financial_Plan,Tax_Saving_Schemes,Profile_Risk,Investment_Readiness
0,5,5,5,3,4,4,5,5
1,5,4,3,2,4,4,5,4
2,5,4,3,3,4,4,5,4
3,4,4,4,3,4,4,3,3
4,5,5,4,4,4,4,4,5
5,2,3,2,1,3,2,2,4
6,3,4,3,4,4,3,4,4
7,2,2,2,2,2,4,4,2
8,4,4,5,3,4,4,4,5
9,3,3,3,3,3,3,3,3
10,5,4,3,3,4,4,4,4
11,4,4,3,2,3,4,2,2
12,3,3,1,2,2,2,2,2
13,4,4,5,5,4,4,5,5
14,4,4,4,4,3,3,4,4
15,4,5,4,3,4,5,5,4
16,4,3,4,2,4,5,2,4
17,3,3,2,3,2,2,3,3
18,5,5,5,4,5,5,5,5
19,3,4,4,1,4,1,5,1
20,2,2,2,2,2,3,3,3
21,3,3,1,1,3,3,3,3
22,4,4,4,4,4,4,1,1
23,4,3,5,2,4,4,4,5
24,3,1,1,1,1,1,1,1
25,1,1,1,1,1,1,2,2
26,1,1,1,1,1,1,2,2
27,4,4,4,4,4,4,4,4
28,3,4,4,4,4,4,4,4
29,4,4,4,3,3,4,2,2
30,5,5,5,5,5,5,5,5
31,4,3,5,3,5,1,5,5
32,4,4,4,4,4,4,4,4
33,4,4,3,4,3,5,4,5
34,3,3,3,3,3,3,3,3
35,4,4,3,2,4,3,3,4
36,3,5,4,2,4,3,4,3
37,4,2,2,2,3,4,4,2
38,4,4,4,2,3,3,2,3
39,1,1,2,1,1,2,1,2
40,3,4,5,1,2,3,5,4
41,4,4,5,3,3,3,5,2
42,4,4,5,3,3,4,5,2
43,4,5,5,2,4,4,2,5
44,5,4,4,4,3,5,5,4
45,2,3,2,3,3,3,3,3
46,4,4,3,3,4,3,3,4
47,4,4,3,3,4,3,3,4
48,4,4,5,3,4,4,3,4
49,3,3,3,3,3,3,3,3
50,2,1,4,2,4,2,2,2
51,3,3,3,1,1,2,2,1
52,4,4,4,4,4,4,4,4
53,4,3,4,3,3,4,3,3
54,3,3,3,2,2,3,2,2
55,4,5,5,2,5,4,4,5
56,4,4,4,4,4,4,3,3
57,4,4,5,4,4,4,3,3
58,3,3,2,2,2,3,3,2
59,1,1,1,2,1,1,1,1
60,4,4,4,4,4,4,4,4
61,4,4,4,2,4,4,5,2
62,4,3,2,2,4,4,4,3
63,2,3,3,2,2,2,4,4
64,3,4,3,3,3,4,1,4
65,2,4,4,2,4,4,2,4
66,3,3,3,3,3,1,2,3
67,1,1,1,1,1,1,1,3
68,3,1,1,3,1,1,1,3
69,5,5,4,2,4,4,4,4
70,3,3,4,4,4,4,4,3
71,4,4,4,4,4,3,3,4
72,1,1,2,3,1,3,3,3
73,3,4,4,3,4,4,3,2
74,4,5,4,4,5,4,4,4
75,4,4,3,4,3,4,4,3
76,1,1,1,1,2,2,2,1
77,2,3,5,2,2,2,2,4
78,4,4,5,3,4,4,3,4
79,4,4,4,4,4,4,4,4
80,4,4,4,3,4,4,3,4
81,2,4,2,2,2,4,2,2
82,4,4,4,3,4,4,4,3
83,2,3,2,1,2,1,3,1
84,4,3,2,2,4,4,4,2
85,5,4,5,2,2,2,3,3
86,4,4,4,2,3,3,3,3
87,4,4,4,2,2,4,4,2
88,1,2,3,1,2,1,3,3
89,4,4,4,2,4,2,3,3
90,4,4,5,3,3,3,4,4
91,3,1,1,1,1,3,2,1
92,4,4,4,4,4,4,4,4
93,4,4,3,3,4,4,3,4
94,4,4,4,4,4,4,4,4
95,5,4,5,2,4,5,5,5
96,3,2,3,3,1,2,3,3
97,4,3,4,2,2,3,2,1
98,4,4,2,2,3,4,3,3
99,4,4,5,4,5,3,5,5
100,4,4,3,4,3,2,4,4
101,1,1,3,3,1,3,2,2
102,5,5,5,5,5,5,5,5
103,5,4,5,4,4,4,4,5
104,3,4,2,2,3,2,3,3
105,4,5,4,3,4,3,4,5
106,4,5,4,3,4,3,4,5
107,4,4,4,2,4,4,4,4
108,4,3,5,4,4,5,4,2
109,4,4,4,3,3,5,3,3
110,2,2,4,4,4,4,4,3
111,2,2,4,4,4,4,4,3
112,2,2,2,2,2,2,1,1
113,4,4,4,3,5,5,5,3
114,5,5,4,3,5,5,5,5
115,4,4,4,4,4,3,3,3
116,4,5,5,5,4,4,5,5
117,4,3,4,4,4,3,4,3
118,5,5,4,4,4,5,4,4
119,4,4,4,4,4,4,4,4
120,5,4,5,5,5,4,4,4
121,4,5,5,5,4,4,4,5
122,3,3,4,4,3,2,2,3
123,5,5,5,5,5,5,5,5
124,4,3,4,4,5,4,4,4
125,4,5,3,3,3,4,3,3
126,4,4,4,4,4,4,4,5
127,5,4,5,3,2,4,5,2
128,3,4,4,3,4,4,4,4
129,1,2,3,2,1,2,2,3
130,5,5,3,3,3,5,3,4
131,3,3,4,3,3,5,5,5
132,4,4,4,1,2,5,4,1
133,5,4,4,1,2,5,3,4
134,5,5,5,3,5,5,5,5
135,4,5,5,4,5,5,5,4
137,5,4,3,2,4,4,5,4
138,5,4,3,2,4,4,5,4
139,4,4,4,3,4,4,3,3
140,5,5,4,4,4,4,4,5
141,2,3,2,1,3,2,2,4
142,3,4,3,4,4,3,4,4
143,2,2,2,2,2,4,4,2
144,4,4,5,3,4,4,4,5
145,3,3,3,3,3,3,3,3
146,5,4,3,3,4,4,4,4
147,4,4,3,2,3,4,2,2
148,3,3,1,2,2,2,2,2
149,4,4,5,5,4,4,5,5
150,4,4,4,4,3,3,4,4
151,4,5,4,3,4,5,5,4
152,4,3,4,2,4,5,2,4
153,3,3,2,3,2,2,3,3
154,5,5,5,4,5,5,5,5
155,3,4,4,1,4,1,5,1
156,2,2,2,2,2,3,3,3
157,3,3,1,1,3,3,3,3
158,4,4,4,4,4,4,1,1
159,4,3,5,2,4,4,4,5
160,3,1,1,1,1,1,1,1
