,FP_Score,BS_Score,FLSW_Score,UT_Score,DM_Score,IB_Score
0,4,4,4,3,3,3
1,2,2,4,5,3,4
2,4,4,4,4,3,3
4,3,3,3,4,3,3
5,4,4,5,5,4,4
6,4,4,4,4,3,4
7,3,2,4,3,2,2
8,3,4,4,4,3,4
9,4,5,4,4,4,2
10,5,5,5,5,4,4
11,4,5,4,4,4,4
12,4,5,5,3,4,3
13,1,1,3,5,2,2
14,5,5,5,5,4,5
15,3,5,5,2,3,2
16,3,3,4,2,2,2
17,3,3,4,2,4,4
18,3,3,3,4,4,4
19,4,5,5,3,3,5
20,3,3,3,4,4,2
21,3,3,4,4,3,2
22,4,5,4,5,4,4
23,3,3,4,3,3,3
24,5,5,5,4,5,5
25,5,5,5,5,4,4
26,3,3,4,4,4,4
27,3,4,5,5,4,2
28,3,4,5,4,4,2
29,3,4,4,2,4,4
30,3,3,4,4,4,2
31,4,4,4,4,4,2
32,3,3,4,5,4,2
33,2,2,5,4,3,2
34,4,4,4,5,3,4
35,2,3,3,4,3,3
36,4,3,4,5,4,4
37,4,2,5,3,3,2
38,4,5,4,4,4,4
39,4,4,5,4,4,5
40,3,2,4,4,4,4
42,4,4,4,5,3,4
43,3,3,3,4,4,2
44,4,4,4,5,4,4
45,3,4,4,3,3,2
46,3,4,5,5,4,4
47,4,5,4,4,4,4
48,3,3,4,3,4,3
49,4,3,3,5,4,3
50,3,2,3,3,3,3
51,4,5,5,5,4,4
52,4,4,4,4,3,4
53,4,4,4,4,3,4
54,4,4,4,4,4,3
55,4,4,4,5,4,4
56,4,4,4,4,4,4
57,4,4,5,5,4,4
58,3,4,3,4,4,4
59,3,4,5,3,3,4
60,3,5,4,4,4,4
61,4,4,4,4,4,4
62,3,4,5,5,4,3
63,4,4,4,4,4,4
64,4,4,4,5,3,4
65,3,4,4,4,4,4
66,4,5,4,4,3,4
67,4,4,4,5,3,3
69,3,4,3,2,4,3
70,5,5,5,4,4,5
71,4,4,4,3,3,2
72,3,4,4,4,4,2
