,Financial_Planning,Financial_Goals,Analyze_Financial_Position,Tax_Saving_Schemes,Profile_Risk,Prompt_Installment_Payments,Recommended_Course
0,5,5,5,4,5,5,Understanding Taxes
1,5,4,3,4,5,5,Frugal Living and Spending Wisely
2,5,4,3,4,5,5,Frugal Living and Spending Wisely
3,4,4,4,4,3,5,Investment Basics
4,5,5,4,4,4,4,"Debt Management, Frugal Living and Spending Wisely, Investment Basics"
5,2,3,2,2,2,2,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
6,3,4,3,3,4,3,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
7,2,2,2,4,4,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
8,4,4,5,4,4,5,"Budget & Savings, Financial Planning, Investment Basics"
9,3,3,3,3,3,3,"Budget & Savings, Debt Management, Financial Planning"
10,5,4,3,4,4,5,Frugal Living and Spending Wisely
11,4,4,3,4,2,2,"Debt Management, Investment Basics"
12,3,3,1,2,2,2,Frugal Living and Spending Wisely
13,4,4,5,4,5,5,"Budget & Savings, Financial Planning, Understanding Taxes"
14,4,4,4,3,4,4,Understanding Taxes
15,4,5,4,5,5,5,"Financial Planning, Frugal Living and Spending Wisely"
16,4,3,4,5,2,4,Investment Basics
17,3,3,2,2,3,4,"Frugal Living and Spending Wisely, Understanding Taxes"
18,5,5,5,5,5,5,"Budget & Savings, Debt Management, Financial Planning"
19,3,4,4,1,5,5,Understanding Taxes
20,2,2,2,3,3,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
21,3,3,1,3,3,3,Frugal Living and Spending Wisely
22,4,4,4,4,1,4,Investment Basics
23,4,3,5,4,4,5,Budget & Savings
24,3,1,1,1,1,3,"Budget & Savings, Frugal Living and Spending Wisely, Investment Basics"
25,1,1,1,1,2,4,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
26,1,1,1,1,2,4,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
27,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
28,3,4,4,4,4,5,Financial Planning
29,4,4,4,4,2,3,Investment Basics
30,5,5,5,5,5,5,"Budget & Savings, Debt Management, Financial Planning"
31,4,3,5,1,5,5,Understanding Taxes
32,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
33,4,4,3,5,4,3,"Debt Management, Frugal Living and Spending Wisely"
34,3,3,3,3,3,3,"Budget & Savings, Debt Management, Financial Planning"
35,4,4,3,3,3,5,"Frugal Living and Spending Wisely, Investment Basics, Understanding Taxes"
36,3,5,4,3,4,4,"Financial Planning, Understanding Taxes"
37,4,2,2,4,4,3,"Budget & Savings, Frugal Living and Spending Wisely"
38,4,4,4,3,2,4,Investment Basics
39,1,1,2,2,1,3,"Budget & Savings, Financial Planning, Investment Basics"
40,3,4,5,3,5,5,"Financial Planning, Understanding Taxes"
41,4,4,5,3,5,4,Understanding Taxes
42,4,4,5,4,5,4,"Budget & Savings, Debt Management, Financial Planning"
43,4,5,5,4,2,5,Investment Basics
44,5,4,4,5,5,5,"Budget & Savings, Frugal Living and Spending Wisely"
45,2,3,2,3,3,3,"Financial Planning, Frugal Living and Spending Wisely"
46,4,4,3,3,3,3,"Debt Management, Frugal Living and Spending Wisely, Investment Basics"
47,4,4,3,3,3,3,"Debt Management, Frugal Living and Spending Wisely, Investment Basics"
48,4,4,5,4,3,5,Investment Basics
49,3,3,3,3,3,3,"Budget & Savings, Debt Management, Financial Planning"
50,2,1,4,2,2,4,Budget & Savings
51,3,3,3,2,2,1,Debt Management
52,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
53,4,3,4,4,3,4,"Budget & Savings, Investment Basics"
54,3,3,3,3,2,3,Investment Basics
55,4,5,5,4,4,1,Debt Management
56,4,4,4,4,3,2,Debt Management
57,4,4,5,4,3,3,"Debt Management, Investment Basics"
58,3,3,2,3,3,3,Frugal Living and Spending Wisely
59,1,1,1,1,1,1,"Budget & Savings, Debt Management, Financial Planning"
60,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
61,4,4,4,4,5,4,"Budget & Savings, Debt Management, Financial Planning"
62,4,3,2,4,4,3,Frugal Living and Spending Wisely
63,2,3,3,2,4,3,"Financial Planning, Understanding Taxes"
64,3,4,3,4,1,4,Investment Basics
65,2,4,4,4,2,4,"Financial Planning, Investment Basics"
66,3,3,3,1,2,4,Understanding Taxes
67,1,1,1,1,1,1,"Budget & Savings, Debt Management, Financial Planning"
68,3,1,1,1,1,2,"Budget & Savings, Frugal Living and Spending Wisely, Investment Basics"
69,5,5,4,4,4,5,"Frugal Living and Spending Wisely, Investment Basics, Understanding Taxes"
70,3,3,4,4,4,5,"Budget & Savings, Financial Planning"
71,4,4,4,3,3,3,"Debt Management, Investment Basics, Understanding Taxes"
72,1,1,2,3,3,1,"Budget & Savings, Debt Management, Financial Planning"
73,3,4,4,4,3,4,"Financial Planning, Investment Basics"
74,4,5,4,4,4,5,"Financial Planning, Frugal Living and Spending Wisely, Investment Basics"
75,4,4,3,4,4,4,Frugal Living and Spending Wisely
76,1,1,1,2,2,1,"Budget & Savings, Debt Management, Financial Planning"
77,2,3,5,2,2,5,"Financial Planning, Investment Basics, Understanding Taxes"
78,4,4,5,4,3,4,Investment Basics
79,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
80,4,4,4,4,3,5,Investment Basics
81,2,4,2,4,2,3,"Financial Planning, Frugal Living and Spending Wisely, Investment Basics"
82,4,4,4,4,4,3,Debt Management
83,2,3,2,1,3,2,Understanding Taxes
84,4,3,2,4,4,2,"Debt Management, Frugal Living and Spending Wisely"
85,5,4,5,2,3,5,Understanding Taxes
86,4,4,4,3,3,3,"Debt Management, Investment Basics, Understanding Taxes"
87,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
88,1,2,3,1,3,2,"Financial Planning, Understanding Taxes"
89,4,4,4,2,3,4,Understanding Taxes
90,4,4,5,3,4,3,"Debt Management, Understanding Taxes"
91,3,1,1,3,2,3,"Budget & Savings, Frugal Living and Spending Wisely"
92,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
93,4,4,3,4,3,4,"Frugal Living and Spending Wisely, Investment Basics"
94,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
95,5,4,5,5,5,5,Budget & Savings
96,3,2,3,2,3,2,"Budget & Savings, Debt Management, Understanding Taxes"
97,4,3,4,3,2,5,Investment Basics
98,4,4,2,4,3,3,Frugal Living and Spending Wisely
99,4,4,5,3,5,5,Understanding Taxes
100,4,4,3,2,4,3,Understanding Taxes
101,1,1,3,3,2,1,"Budget & Savings, Debt Management, Financial Planning"
102,5,5,5,5,5,5,"Budget & Savings, Debt Management, Financial Planning"
103,5,4,5,4,4,5,"Budget & Savings, Investment Basics, Understanding Taxes"
104,3,4,2,2,3,2,"Debt Management, Frugal Living and Spending Wisely, Understanding Taxes"
105,4,5,4,3,4,4,Understanding Taxes
106,4,5,4,3,4,4,Understanding Taxes
107,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
108,4,3,5,5,4,2,Debt Management
109,4,4,4,5,3,4,Investment Basics
110,2,2,4,4,4,4,"Budget & Savings, Financial Planning"
111,2,2,4,4,4,4,"Budget & Savings, Financial Planning"
112,2,2,2,2,1,5,Investment Basics
113,4,4,4,5,5,3,Debt Management
114,5,5,4,5,5,3,Debt Management
115,4,4,4,3,3,1,Debt Management
116,4,5,5,4,5,5,"Financial Planning, Understanding Taxes"
117,4,3,4,3,4,4,"Budget & Savings, Understanding Taxes"
118,5,5,4,5,4,5,"Frugal Living and Spending Wisely, Investment Basics"
119,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
120,5,4,5,4,4,4,"Budget & Savings, Debt Management, Investment Basics"
121,4,5,5,4,4,3,Debt Management
122,3,3,4,2,2,4,"Investment Basics, Understanding Taxes"
123,5,5,5,5,5,3,Debt Management
124,4,3,4,4,4,4,Budget & Savings
125,4,5,3,4,3,4,"Frugal Living and Spending Wisely, Investment Basics"
126,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
127,5,4,5,4,5,4,"Budget & Savings, Debt Management, Understanding Taxes"
128,3,4,4,4,4,5,Financial Planning
129,1,2,3,2,2,3,Financial Planning
130,5,5,3,5,3,5,"Frugal Living and Spending Wisely, Investment Basics"
131,3,3,4,5,5,5,"Budget & Savings, Financial Planning"
132,4,4,4,5,4,5,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
133,5,4,4,5,3,5,Investment Basics
134,5,5,5,5,5,5,"Budget & Savings, Debt Management, Financial Planning"
135,4,5,5,5,5,5,Financial Planning
136,5,4,3,4,5,5,Frugal Living and Spending Wisely
137,5,4,3,4,5,5,Frugal Living and Spending Wisely
138,4,4,4,4,3,5,Investment Basics
139,5,5,4,4,4,4,"Debt Management, Frugal Living and Spending Wisely, Investment Basics"
140,2,3,2,2,2,2,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
141,3,4,3,3,4,3,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
142,2,2,2,4,4,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
143,4,4,5,4,4,5,"Budget & Savings, Financial Planning, Investment Basics"
144,3,3,3,3,3,3,"Budget & Savings, Debt Management, Financial Planning"
145,5,4,3,4,4,5,Frugal Living and Spending Wisely
146,4,4,3,4,2,2,"Debt Management, Investment Basics"
147,3,3,1,2,2,2,Frugal Living and Spending Wisely
148,4,4,5,4,5,5,"Budget & Savings, Financial Planning, Understanding Taxes"
149,4,4,4,3,4,4,Understanding Taxes
150,4,5,4,5,5,5,"Financial Planning, Frugal Living and Spending Wisely"
151,4,3,4,5,2,4,Investment Basics
152,3,3,2,2,3,5,"Frugal Living and Spending Wisely, Understanding Taxes"
153,5,5,5,5,5,5,"Budget & Savings, Debt Management, Financial Planning"
154,3,4,4,1,5,5,Understanding Taxes
155,2,2,2,3,3,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
156,3,3,1,3,3,3,Frugal Living and Spending Wisely
157,4,4,4,4,1,4,Investment Basics
158,4,3,5,4,4,5,Budget & Savings
159,3,1,1,1,1,3,"Budget & Savings, Frugal Living and Spending Wisely, Investment Basics"
160,1,1,1,1,2,4,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
161,1,1,1,1,2,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
162,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
163,3,4,4,4,4,5,Financial Planning
164,4,4,4,4,2,3,Investment Basics
165,5,5,5,5,5,5,"Budget & Savings, Debt Management, Financial Planning"
166,4,3,5,1,5,5,Understanding Taxes
167,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
168,4,4,3,5,4,3,"Debt Management, Frugal Living and Spending Wisely"
169,3,3,3,3,3,3,"Budget & Savings, Debt Management, Financial Planning"
170,4,4,3,3,3,5,"Frugal Living and Spending Wisely, Investment Basics, Understanding Taxes"
171,3,5,4,3,4,4,"Financial Planning, Understanding Taxes"
172,4,2,2,4,4,3,"Budget & Savings, Frugal Living and Spending Wisely"
173,4,4,4,3,2,4,Investment Basics
174,1,1,2,2,1,3,"Budget & Savings, Financial Planning, Investment Basics"
175,3,4,5,3,5,5,"Financial Planning, Understanding Taxes"
176,4,4,5,1,5,4,Understanding Taxes
177,4,4,5,1,5,4,Understanding Taxes
178,4,5,5,4,2,5,Investment Basics
179,5,4,4,5,5,5,"Budget & Savings, Frugal Living and Spending Wisely"
180,2,3,2,3,3,3,"Financial Planning, Frugal Living and Spending Wisely"
181,4,4,3,3,3,3,"Debt Management, Frugal Living and Spending Wisely, Investment Basics"
182,4,4,3,3,3,3,"Debt Management, Frugal Living and Spending Wisely, Investment Basics"
183,4,4,5,4,3,5,Investment Basics
184,3,3,3,3,3,3,"Budget & Savings, Debt Management, Financial Planning"
185,2,1,4,2,2,4,Budget & Savings
186,3,3,3,2,2,1,Debt Management
187,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
188,4,3,4,4,3,4,"Budget & Savings, Investment Basics"
189,3,3,3,3,2,3,Investment Basics
190,4,5,5,4,4,1,Debt Management
191,4,4,4,4,3,2,Debt Management
192,4,4,5,4,3,3,"Debt Management, Investment Basics"
193,3,3,2,3,3,3,Frugal Living and Spending Wisely
194,1,1,1,1,1,1,"Budget & Savings, Debt Management, Financial Planning"
195,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
196,4,4,4,4,5,4,"Budget & Savings, Debt Management, Financial Planning"
197,4,3,2,4,4,3,Frugal Living and Spending Wisely
198,2,3,3,2,4,3,"Financial Planning, Understanding Taxes"
199,3,4,3,4,1,4,Investment Basics
200,2,4,4,4,2,4,"Financial Planning, Investment Basics"
201,3,3,3,1,2,4,Understanding Taxes
202,1,1,1,1,1,1,"Budget & Savings, Debt Management, Financial Planning"
203,3,1,1,1,1,2,"Budget & Savings, Frugal Living and Spending Wisely, Investment Basics"
204,5,5,4,4,4,5,"Frugal Living and Spending Wisely, Investment Basics, Understanding Taxes"
205,3,3,4,4,4,5,"Budget & Savings, Financial Planning"
206,4,4,4,3,3,3,"Debt Management, Investment Basics, Understanding Taxes"
207,1,1,2,3,3,1,"Budget & Savings, Debt Management, Financial Planning"
208,3,4,4,4,3,4,"Financial Planning, Investment Basics"
209,4,5,4,4,4,5,"Financial Planning, Frugal Living and Spending Wisely, Investment Basics"
210,4,4,3,4,4,4,Frugal Living and Spending Wisely
211,1,1,1,2,2,1,"Budget & Savings, Debt Management, Financial Planning"
212,2,3,5,2,2,5,"Financial Planning, Investment Basics, Understanding Taxes"
213,4,4,5,4,3,4,Investment Basics
214,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
215,4,4,4,4,3,5,Investment Basics
216,2,4,2,4,2,3,"Financial Planning, Frugal Living and Spending Wisely, Investment Basics"
217,4,4,4,4,4,3,Debt Management
218,2,3,2,1,3,2,Understanding Taxes
219,4,3,2,4,4,2,"Debt Management, Frugal Living and Spending Wisely"
220,5,4,5,2,3,5,Understanding Taxes
221,4,4,4,3,3,3,"Debt Management, Investment Basics, Understanding Taxes"
222,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
223,1,2,3,1,3,2,"Financial Planning, Understanding Taxes"
224,4,4,4,2,3,4,Understanding Taxes
225,4,4,5,3,4,3,"Debt Management, Understanding Taxes"
226,3,1,1,3,2,3,"Budget & Savings, Frugal Living and Spending Wisely"
227,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
228,4,4,3,4,3,4,"Frugal Living and Spending Wisely, Investment Basics"
229,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
230,5,4,5,5,5,5,Budget & Savings
231,3,2,3,2,3,2,"Budget & Savings, Debt Management, Understanding Taxes"
232,4,3,4,3,2,5,Investment Basics
233,4,4,2,4,3,3,Frugal Living and Spending Wisely
234,4,4,5,3,5,5,Understanding Taxes
235,4,4,3,2,4,3,Understanding Taxes
236,1,1,3,3,2,1,"Budget & Savings, Debt Management, Financial Planning"
237,5,5,5,5,5,5,"Budget & Savings, Debt Management, Financial Planning"
238,5,4,5,4,4,5,"Budget & Savings, Investment Basics, Understanding Taxes"
239,3,4,2,2,3,2,"Debt Management, Frugal Living and Spending Wisely, Understanding Taxes"
240,4,5,4,3,4,4,Understanding Taxes
241,4,5,4,3,4,4,Understanding Taxes
242,4,4,4,4,4,4,"Budget & Savings, Debt Management, Financial Planning"
243,4,3,5,5,4,2,Debt Management
244,4,4,4,5,3,4,Investment Basics
245,2,2,4,4,4,4,"Budget & Savings, Financial Planning"
246,2,2,4,4,4,4,"Budget & Savings, Financial Planning"
247,2,2,2,2,1,5,Investment Basics
