,Financial_Planning,Financial_Goals,Analyze_Financial_Position,Tax_Saving_Schemes,Prompt_Installment_Payments,Profile_Risk,Recommended_Course
0,4,4,4,3,3,3,"Debt Management, Investment Basics, Understanding Taxes"
1,2,2,4,5,3,4,"Budget & Savings, Debt Management, Financial Planning"
2,4,4,4,4,3,3,"Debt Management, Investment Basics"
4,3,3,3,4,3,3,"Budget & Savings, Debt Management, Financial Planning"
5,4,4,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
6,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
7,3,2,4,3,2,2,"Budget & Savings, Debt Management, Financial Planning"
8,3,4,4,4,3,4,"Debt Management, Financial Planning"
9,4,5,4,4,4,2,"Debt Management, Investment Basics, Understanding Taxes"
10,5,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
11,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
12,4,5,5,3,4,3,"Investment Basics, Understanding Taxes"
13,1,1,3,5,2,2,"Budget & Savings, Debt Management, Financial Planning"
14,5,5,5,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
15,3,5,5,2,3,2,"Debt Management, Financial Planning, Investment Basics"
16,3,3,4,2,2,2,"Budget & Savings, Debt Management, Financial Planning"
17,3,3,4,2,4,4,"Budget & Savings, Financial Planning, Understanding Taxes"
18,3,3,3,4,4,4,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
19,4,5,5,3,3,5,"Debt Management, Understanding Taxes"
20,3,3,3,4,4,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
21,3,3,4,4,3,2,"Budget & Savings, Debt Management, Financial Planning"
22,4,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
23,3,3,4,3,3,3,"Budget & Savings, Debt Management, Financial Planning"
24,5,5,5,4,5,5,"Debt Management, Investment Basics, Understanding Taxes"
25,5,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
26,3,3,4,4,4,4,"Budget & Savings, Financial Planning"
27,3,4,5,5,4,2,"Financial Planning, Investment Basics"
28,3,4,5,4,4,2,"Financial Planning, Investment Basics"
29,3,4,4,2,4,4,"Financial Planning, Understanding Taxes"
30,3,3,4,4,4,2,"Budget & Savings, Financial Planning, Investment Basics"
31,4,4,4,4,4,2,"Debt Management, Investment Basics, Understanding Taxes"
32,3,3,4,5,4,2,"Budget & Savings, Financial Planning, Investment Basics"
33,2,2,5,4,3,2,"Budget & Savings, Debt Management, Financial Planning"
34,4,4,4,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
35,2,3,3,4,3,3,"Budget & Savings, Debt Management, Financial Planning"
36,4,3,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
37,4,2,5,3,3,2,"Budget & Savings, Debt Management, Investment Basics"
38,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
39,4,4,5,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
40,3,2,4,4,4,4,"Budget & Savings, Financial Planning"
42,4,4,4,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
43,3,3,3,4,4,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
44,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
45,3,4,4,3,3,2,"Debt Management, Financial Planning, Investment Basics"
46,3,4,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
47,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
48,3,3,4,3,4,3,"Budget & Savings, Financial Planning, Investment Basics"
49,4,3,3,5,4,3,"Budget & Savings, Frugal Living and Spending Wisely, Investment Basics"
50,3,2,3,3,3,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
51,4,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
52,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
53,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
54,4,4,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
55,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
56,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
57,4,4,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
58,3,4,3,4,4,4,"Financial Planning, Frugal Living and Spending Wisely"
59,3,4,5,3,3,4,"Debt Management, Financial Planning, Understanding Taxes"
60,3,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
61,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
62,3,4,5,5,4,3,"Financial Planning, Investment Basics"
63,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
